Year,Rank,Company,Ticker,MarketCap_BillionsUSD,ticker,sector,displayName
2022,1,APPLE INC.,AAPL,2067,AAPL,Information Technology,APPLE INC.
2022,2,MICROSOFT CORPORATION,MSFT,1788,MSFT,Information Technology,MICROSOFT CORP
2022,3,ALPHABET INC.,GOOGL,1148,GOOGL,Communication Services,ALPHABET INC.
2022,4,"AMAZON.COM, INC.",AMZN,856.94,AMZN,Consumer Discretionary,"AMAZON.COM, INC."
2022,5,BERKSHIRE HATHAWAY INC.,BRK.A,678.72,BRK.B,Financials,BERKSHIRE HATHAWAY INC.
2022,6,UNITEDHEALTH GROUP INCORPORATED,UNH,495.37,UNH,Health Care,United Health Group Inc
2022,7,JOHNSON & JOHNSON,JNJ,461.85,JNJ,Health Care,JOHNSON & JOHNSON
2022,8,EXXON MOBIL CORPORATION,XOM,454.25,XOM,Energy,EXXON MOBIL CORP
2022,9,VISA INC.,V,439.96,V,Financials,VISA INC.
2022,10,JPMORGAN CHASE & CO.,JPM,393.34,JPM,Financials,JPMORGAN CHASE & CO.
2022,11,"TESLA, INC.",TSLA,388.97,TSLA,Consumer Discretionary,"TESLA, INC."
2022,12,WALMART INC.,WMT,382.38,WMT,Consumer Staples,WALMART INC.
2022,13,NVIDIA CORPORATION,NVDA,359.5,NVDA,Information Technology,NVIDIA CORP
2022,14,THE PROCTER & GAMBLE COMPANY,PG,359.15,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2022,15,ELI LILLY AND COMPANY,LLY,347.61,LLY,Health Care,ELI LILLY AND COMPANY
2022,16,CHEVRON CORPORATION,CVX,344.53,CVX,Energy,CHEVRON CORP
2022,17,MASTERCARD INCORPORATED.,MA,334.33,MA,Financials,MASTERCARD INC.
2022,18,"THE HOME DEPOT, INC.",HD,321.92,HD,Consumer Discretionary,"THE HOME DEPOT, INC."
2022,19,"Meta Platforms, Inc.",META,315.56,META,Communication Services,"Meta Platforms, Inc."
2022,20,PFIZER INC.,PFE,287.63,PFE,Health Care,PFIZER INC.
2023,1,APPLE INC.,AAPL,2994,AAPL,Information Technology,APPLE INC.
2023,2,MICROSOFT CORPORATION,MSFT,2795,MSFT,Information Technology,MICROSOFT CORP
2023,3,ALPHABET INC.,GOOGL,1764,GOOGL,Communication Services,ALPHABET INC.
2023,4,"AMAZON.COM, INC.",AMZN,1570,AMZN,Consumer Discretionary,"AMAZON.COM, INC."
